"Comparison","Z","P.unadj","P.adj"
"Global core - Global in-between",15.7478298420539,7.10789707610712e-56,7.10789707610712e-55
"Global core - Global satellite",50.7688876560054,0,0
"Global in-between - Global satellite",27.3945142648236,3.18793125659959e-165,5.41948313621931e-164
"Global core - Sed Core - Water Sat/In-bet.",10.1629277465432,2.90227831459317e-24,2.03159482021522e-23
"Global in-between - Sed Core - Water Sat/In-bet.",-5.16666803911879,2.38303957555889e-07,4.76607915111779e-07
"Global satellite - Sed Core - Water Sat/In-bet.",-33.5927759088925,2.13877823090459e-247,4.06367863871872e-246
"Global core - Sed Sat - Water Inbetween",27.291535294819,5.34573911955764e-164,8.55318259129223e-163
"Global in-between - Sed Sat - Water Inbetween",7.83211053447492,4.79747458457972e-15,1.91898983383189e-14
"Global satellite - Sed Sat - Water Inbetween",-25.1995898639856,4.04734328810784e-140,5.66628060335097e-139
"Sed Core - Water Sat/In-bet. - Sed Sat - Water Inbetween",13.7817786259546,3.28088085275076e-43,2.95279276747568e-42
"Global core - Water Core - Sed Sat/In-bet.",8.68722814928714,3.71389788770866e-18,1.85694894385433e-17
"Global in-between - Water Core - Sed Sat/In-bet.",-9.90210924028226,4.07586675102776e-23,2.44552005061666e-22
"Global satellite - Water Core - Sed Sat/In-bet.",-53.4018132342501,0,0
"Sed Core - Water Sat/In-bet. - Water Core - Sed Sat/In-bet.",-3.60629015862617,0.000310605813689864,0.000310605813689864
"Sed Sat - Water Inbetween - Water Core - Sed Sat/In-bet.",-22.9784297475322,7.66072580909864e-117,9.95894355182823e-116
"Global core - Water Sat - Sed Inbetween",30.234168729836,8.42555422079443e-201,1.516599759743e-199
"Global in-between - Water Sat - Sed Inbetween",11.7498036536058,7.07831235340346e-32,5.66264988272277e-31
"Global satellite - Water Sat - Sed Inbetween",-16.5972703074225,7.29331039835383e-62,8.02264143818921e-61
"Sed Core - Water Sat/In-bet. - Water Sat - Sed Inbetween",17.3496076617014,1.98595909063636e-67,2.38315090876363e-66
"Sed Sat - Water Inbetween - Water Sat - Sed Inbetween",5.31429460179688,1.07071276516127e-07,3.21213829548381e-07
"Water Core - Sed Sat/In-bet. - Water Sat - Sed Inbetween",26.4415234606033,4.56706449339134e-154,6.850596740087e-153
